pk,796095,25220,"[u'arable land', u' extensive natural gas reserves', u' limited petroleum', u' poor quality coal', u' iron ore', u' copper', u' salt', u' limestone']","[u'frequent earthquakes', u' occasionally severe especially in north and west', u' flooding along the Indus after heavy rains July and August']","[u'cotton', u'wheat', u'rice', u'sugarcane', u'fruits', u'vegetables', u'milk', u'beef', u'mutton', u'eggs']"
qa,11586,0,"[u'petroleum', u' natural gas', u' fish']","[u'haze', u' dust storms', u' sandstorms common']","[u'fruits', u'vegetables', u'poultry', u'dairy', u'products', u'beef', u'fish']"
rs,17098242,720500,"[u'wide natural resource base including major deposits of oil', u' natural gas', u' coal', u' and many strategic minerals', u' reserves of rare earth elements', u' timber', u'note: formidable obstacles of climate', u' terrain', u' and distance hinder exploitation of natural resources']","[u'permafrost over much of Siberia is a major impediment to development', u' volcanic activity in the Kuril Islands', u' volcanoes and earthquakes on the Kamchatka Peninsula', u' spring floods and summer/autumn forest fires throughout Siberia and parts of European Russia', u'volcanism: significant volcanic activity on the Kamchatka Peninsula and Kuril Islands', u' the peninsula alone is home to some 29 historically active volcanoes', u' with dozens more in the Kuril Islands', u' Kliuchevskoi elev. 4', u'835 m', u' which erupted in 2007 and 2010', u"" is Kamchatka's most active volcano"", u' Avachinsky and Koryaksky volcanoes', u' which pose a threat to the city of Petropavlovsk-Kamchatsky', u"" have been deemed Decade Volcanoes by the International Association of Volcanology and Chemistry of the Earth's Interior"", u' worthy of study due to their explosive history and close proximity to human populations', u' other notable historically active volcanoes include Bezymianny', u' Chikurachki', u' Ebeko', u' Gorely', u' Grozny', u' Karymsky', u' Ketoi', u' Kronotsky', u' Ksudach', u' Medvezhia', u' Mutnovsky', u' Sarychev Peak', u' Shiveluch', u' Tiatia', u' Tolbachik', u' and Zheltovsky']","[u'grain', u'sugar', u'beets', u'sunflower', u'seeds', u'vegetables', u'fruits', u'beef', u'milk']"
sa,2149690,0,"[u'petroleum', u' natural gas', u' iron ore', u' gold', u' copper']","[u'frequent sand and dust storms', u'volcanism: despite many volcanic formations', u' there has been little activity in the past few centuries', u' volcanoes include Harrat Rahat', u' Harrat Khaybar', u' Harrat Lunayyir', u' and Jabal Yar']","[u'wheat', u'barley', u'tomatoes', u'melons', u'dates', u'citrus', u'mutton', u'chickens', u'eggs', u'milk']"
su,1861484,NA,"[u'petroleum', u' small reserves of iron ore', u' copper', u' chromium ore', u' zinc', u' tungsten', u' mica', u' silver', u' gold', u' hydropower']",[u'dust storms and periodic persistent droughts'],"[u'cotton', u'groundnuts', u'peanuts', u'sorghum', u'millet', u'wheat', u'gum', u'Arabic', u'sugarcane', u'cassava', u'manioc', u'tapioca', u'mangoes', u'papaya', u'bananas', u'sweet', u'potatoes', u'sesame', u'seeds', u'animal', u'feed', u'sheep', u'and', u'other', u'livestock']"
sy,185180,1550,"[u'petroleum', u' phosphates', u' chrome and manganese ores', u' asphalt', u' iron ore', u' rock salt', u' marble', u' gypsum', u' hydropower']","[u'dust storms', u' sandstorms', u""volcanism: Syria's two historically active volcanoes"", u' Es Safa and an unnamed volcano near the Turkish border have not erupted in centuries']","[u'wheat', u'barley', u'cotton', u'lentils', u'chickpeas', u'olives', u'sugar', u'beets', u'beef', u'mutton', u'eggs', u'poultry', u'milk']"
tu,783562,13930,"[u'coal', u' iron ore', u' copper', u' chromium', u' antimony', u' mercury', u' gold', u' barite', u' borate', u' celestite strontium', u' emery', u' feldspar', u' limestone', u' magnesite', u' marble', u' perlite', u' pumice', u' pyrites sulfur', u' clay', u' arable land', u' hydropower']","[u'severe earthquakes', u' especially in northern Turkey', u' along an arc extending from the Sea of Marmara to Lake Van', u'volcanism: limited volcanic activity', u' its three historically active volcanoes', u' Ararat', u' Nemrut Dagi', u' and Tendurek Dagi have not erupted since the 19th century or earlier']","[u'tobacco', u'cotton', u'grain', u'olives', u'sugar', u'beets', u'hazelnuts', u'pulses', u'citrus', u'livestock']"
ae,83600,0,"[u'petroleum', u' natural gas']",[u'frequent sand and dust storms'],"[u'dates', u'vegetables', u'watermelons', u'poultry', u'eggs', u'dairy', u'products', u'fish']"
us,9833517,685924,"[u'coal', u' copper', u' lead', u' molybdenum', u' phosphates', u' rare earth elements', u' uranium', u' bauxite', u' gold', u' iron', u' mercury', u' nickel', u' potash', u' silver', u' tungsten', u' zinc', u' petroleum', u' natural gas', u' timber', u' arable land', u""note: the US has the world's largest coal reserves with 491 billion short tons accounting for 27 of the world's total""]","[u'tsunamis', u' volcanoes', u' earthquake activity around Pacific Basin', u' hurricanes along the Atlantic and Gulf of Mexico coasts', u' tornadoes in the Midwest and Southeast', u' mud slides in California', u' forest fires in the west', u' flooding', u' permafrost in northern Alaska', u' a major impediment to development', u'volcanism: volcanic activity in the Hawaiian Islands', u' Western Alaska', u' the Pacific Northwest', u' and in the Northern Mariana Islands', u' both Mauna Loa elev. 4', u'170 m in Hawaii and Mount Rainier elev. 4', u""392 m in Washington have been deemed Decade Volcanoes by the International Association of Volcanology and Chemistry of the Earth's Interior"", u' worthy of study due to their explosive history and close proximity to human populations', u' Pavlof elev. 2', u""519 m is the most active volcano in Alaska's Aleutian Arc and poses a significant threat to air travel since the area constitutes a major flight path between North America and East Asia"", u' St. Helens elev. 2', u'549 m', u' famous for the devastating 1980 eruption', u' remains active today', u' numerous other historically active volcanoes exist', u' mostly concentrated in the Aleutian arc and Hawaii', u' they include: in Alaska: Aniakchak', u' Augustine', u' Chiginagak', u' Fourpeaked', u' Iliamna', u' Katmai', u' Kupreanof', u' Martin', u' Novarupta', u' Redoubt', u' Spurr', u' Wrangell', u' in Hawaii: Trident', u' Ugashik-Peulik', u' Ukinrek Maars', u' Veniaminof', u' in the Northern Mariana Islands: Anatahan', u' and in the Pacific Northwest: Mount Baker', u' Mount Hood']","[u'wheat', u'corn', u'other', u'grains', u'fruits', u'vegetables', u'cotton', u'beef', u'pork', u'poultry', u'dairy', u'products', u'fish', u'forest', u'products']"
ym,527968,0,"[u'petroleum', u' fish', u' rock salt', u' marble', u' small deposits of coal', u' gold', u' lead', u' nickel', u' and copper', u' fertile soil in west']","[u'sandstorms and dust storms in summer', u'volcanism: limited volcanic activity', u' Jebel at Tair Jabal al-Tair', u' Jebel Teir', u' Jabal al-Tayr', u' Jazirat at-Tair elev. 244 m', u' which forms an island in the Red Sea', u' erupted in 2007 after awakening from dormancy', u' other historically active volcanoes include Harra of Arhab', u' Harras of Dhamar', u' Harra es-Sawad', u' and Jebel Zubair', u' although many of these have not erupted in over a century']","[u'grain', u'fruits', u'vegetables', u'pulses', u'qat', u'coffee', u'cotton', u'dairy', u'products', u'livestock', u'sheep', u'goats', u'cattle', u'camels', u'poultry', u'fish']"
